Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Ambience,Lively,Service,Comfortablility,Privacy,Years Since Opening,City_Clean,Country,City_Tier
16000000,"nigerian,cajun",Noida,Near Party Hub,2012-05-29,71.2,Not Specific,61.6,1,1,1,1,1,2.0,Bar,Greek,3,0,4,4,4,5,9,9.0,,6.0,6,5,2,7,13.180013689253936,noida,India,Tier 1
35000000,"chinese,salvadorian",Beawar,Near Party Hub,2007-07-24,80.0,Not Specific,75.0,0,1,1,1,1,2.0,Bar,Chinese,3,0,2,3,4,4,6,7.0,,8.0,7,5,5,7,18.028747433264886,beawar,India,Tier 3
30500000,"tibetan,greek",Bangalore,Near Party Hub,2009-12-20,80.2,Not Specific,63.0,0,1,0,1,1,2.0,Bar,Arabian,4,1,10,4,4,4,6,8.0,4.0,6.0,8,2,2,4,15.619438740588638,bangalore,India,Tier 1
32500000,"tibetan,italian",-1,Near Party Hub,2011-05-17,73.6,Tier A Celebrity,78.3,0,1,1,1,1,1.0,Bar,Greek,3,1,3,6,5,6,8,7.0,5.0,4.0,6,4,4,9,14.21492128678987,unknown,Unknown,Other
20000000,"algerian,algerian",Hyderabad,Near Party Hub,2008-07-16,88.6,Not Specific,56.0,1,1,1,1,1,2.0,Bar,Greek,2,1,8,4,5,5,10,6.0,,5.0,6,5,3,7,17.048596851471594,hyderabad,India,Tier 1
47000000,"indian,irish",Noida,Near Business Hub,2010-09-09,70.0,Not Specific,65.0,1,1,0,0,0,2.0,Bar,90's,3,1,4,4,5,4,6,9.0,5.0,8.0,5,2,2,5,14.899383983572895,noida,India,Tier 1
32500000,"turkish,sapnish",Bangalore,Near Business Hub,2010-08-09,87.0,Tier A Celebrity,96.6,0,1,1,1,0,2.0,Bar,Greek,4,0,2,4,4,6,6,6.0,3.0,10.0,10,1,2,5,14.984257357973991,bangalore,India,Tier 1
31500000,"tibetan,greek",Pune,Near Party Hub,2009-08-26,83.6,Tier A Celebrity,60.17,1,1,1,1,1,2.0,Bar,Greek,3,0,6,6,5,8,10,,5.0,3.0,5,1,3,3,15.937029431895962,pune,India,Tier 1
31500000,"tibetan,italian",Chennai,Near Party Hub,2009-11-13,85.0,Tier A Celebrity,85.0,1,1,1,1,1,2.0,Bar,Arabian,2,0,4,4,5,5,9,10.0,5.0,4.0,5,3,4,4,15.720739219712526,chennai,India,Tier 1
24000000,"algerian,korean",Alwar,Near Party Hub,2011-12-03,,Not Specific,56.0,1,1,1,0,1,2.0,Bar,Chinese,2,0,4,5,3,4,8,8.0,3.0,3.0,4,6,5,4,13.66735112936345,alwar,India,Tier 3
36000000,"welsh,thai",NOIDA,Near Party Hub,2009-07-05,80.0,Tier A Celebrity,75.4,1,1,1,1,1,2.0,Bar,Greek,3,0,9,4,4,4,5,,,0.0,5,0,7,3,16.079397672826833,noida,India,Tier 1
32000000,"indian,irish",Bangalore,Near Party Hub,2011-08-01,74.7,Tier A Celebrity,72.4,1,1,0,1,1,2.0,Bar,Arabian,3,0,9,7,6,6,9,10.0,4.0,6.0,7,6,2,6,14.00684462696783,bangalore,India,Tier 1
16000000,"turkish,nigerian",Noida,Near Party Hub,2011-03-14,79.6,Tier A Celebrity,52.0,1,1,1,1,0,2.0,Bar,90's,2,0,8,4,4,5,6,8.0,4.0,9.0,9,4,1,6,14.390143737166325,noida,India,Tier 1
35000000,"algerian,korean",Gurgaon,Near Party Hub,2010-07-27,69.2,Tier A Celebrity,77.4,1,1,1,1,1,2.0,Caffee,Arabian,3,1,4,5,6,6,8,9.0,6.0,2.0,9,5,7,7,15.019849418206707,gurgaon,India,Tier 1
15000000,"chinese,salvadorian",-1,Near Business Hub,2011-03-09,85.6,Tier A Celebrity,69.6,1,1,1,1,1,2.0,Bar,90's,3,0,6,5,5,4,10,10.0,,4.0,6,1,4,3,14.403832991101986,unknown,Unknown,Other
30000000,"tibetan,greek",Bangalore,Near Party Hub,2010-06-30,73.0,Not Specific,81.0,0,1,1,1,1,2.0,Bar,Arabian,4,0,8,3,5,4,5,8.0,4.0,10.0,8,4,3,6,15.093771389459274,bangalore,India,Tier 1
32000000,"tibetan,greek",Noida,Near Party Hub,2011-10-31,87.4,Tier A Celebrity,84.8,1,1,1,1,0,2.0,Bar,90's,3,0,1,5,5,4,7,10.0,4.0,4.0,7,4,5,5,13.757700205338809,noida,India,Tier 1
62500000,"british,japanese",Noida,Near Party Hub,2009-09-27,,Tier A Celebrity,85.0,1,1,1,1,1,2.0,Bar,Arabian,3,1,3,5,6,5,5,9.0,6.0,5.0,10,4,4,7,15.849418206707734,noida,India,Tier 1
20500000,"algerian,belgian",Greater noida,Near Party Hub,2007-11-27,65.33,Not Specific,56.2,1,1,1,1,1,2.0,Bar,Greek,2,0,10,3,3,4,5,8.0,3.0,8.0,8,4,1,9,17.683778234086244,noida,India,Tier 1
8500000,"welsh,thai",pune,Near Party Hub,2006-02-01,,Not Specific,67.0,1,1,1,0,1,2.0,Bar,Arabian,1,1,3,4,4,3,8,8.0,4.0,6.0,5,6,5,6,19.50171115674196,pune,India,Tier 1
13500000,"welsh,thai",-1,Near Business Hub,2010-01-13,78.0,Not Specific,62.0,1,1,1,1,1,2.0,Bar,Arabian,5,1,2,4,5,4,8,7.0,3.0,9.0,7,6,1,8,15.553730321697467,unknown,Unknown,Other
55000000,"turkish,nigerian",Bangalore,Near Business Hub,2010-07-15,96.48,Not Specific,82.0,1,1,0,1,0,2.0,Bar,Arabian,3,1,2,5,5,5,8,9.0,5.0,7.0,5,2,0,4,15.052703627652292,bangalore,India,Tier 1
24000000,"hawaiian,latvian",-1,Near Party Hub,2007-03-17,77.0,Tier A Celebrity,62.0,1,1,1,1,1,2.0,Bar,90's,2,0,2,6,5,5,7,10.0,4.0,6.0,8,5,4,5,18.38193018480493,unknown,Unknown,Other
65000000,"tibetan,greek",Bangalore,Near Party Hub,2010-10-15,84.83,Tier A Celebrity,78.43,1,1,1,1,1,1.0,Bar,Arabian,3,0,8,5,5,6,7,9.0,5.0,8.0,9,8,0,5,14.80082135523614,bangalore,India,Tier 1
20000000,"british,japanese",-1,Near Party Hub,2007-04-14,88.0,Tier A Celebrity,72.6,1,1,1,0,1,2.0,Bar,Mise En,1,0,10,6,4,6,6,9.0,,7.0,8,7,2,8,18.305270362765228,unknown,Unknown,Other
20000000,"turkish,sapnish",-1,Near Party Hub,2010-05-23,84.0,Tier A Celebrity,82.0,1,1,0,1,1,2.0,Bar,Greek,3,0,1,4,4,5,8,6.0,,4.0,7,2,4,6,15.197809719370294,unknown,Unknown,Other
65000000,"indian,irish",pune,Near Business Hub,2009-02-11,82.5,Tier A Celebrity,72.4,1,1,0,0,1,2.0,Bar,Molino,2,0,10,6,6,6,7,9.0,,8.0,8,4,3,8,16.473648186173854,pune,India,Tier 1
18000000,"irish,belgian",-1,Near Party Hub,2009-07-28,91.8,Tier A Celebrity,82.7,1,1,1,1,1,1.0,Bar,Petit,3,1,4,5,6,7,5,9.0,,6.0,8,5,4,7,16.016427104722794,unknown,Unknown,Other
18000000,"welsh,thai",Kolkata,Near Party Hub,2009-12-14,55.0,Not Specific,68.0,1,1,1,1,1,2.0,Bar,Arabian,3,1,5,4,5,5,9,10.0,4.0,8.0,7,7,1,4,15.63586584531143,kolkata,India,Tier 1
30000000,"tibetan,greek",Pune,Near Business Hub,2008-07-16,,Tier A Celebrity,75.0,1,1,1,0,0,2.0,Bar,90's,2,1,5,6,6,6,8,9.0,5.0,4.0,5,2,5,9,17.048596851471594,pune,India,Tier 1
12000000,"chinese,salvadorian",Siliguri ,Near Party Hub,2010-03-21,68.5,Not Specific,73.2,0,1,0,1,0,2.0,Bar,Chinese,2,0,8,3,4,4,6,6.0,,0.0,0,0,0,0,15.370294318959617,siliguri,India,Tier 2
19000000,"indian,irish",Noida,Near Business Hub,2010-10-20,73.4,Not Specific,74.45,1,1,1,0,0,2.0,Bar,90's,4,0,1,4,3,4,5,10.0,4.0,8.0,8,4,3,8,14.787132101300479,noida,India,Tier 1
42000000,"indian,irish",-1,Near Party Hub,2010-06-25,86.0,Tier A Celebrity,76.0,1,1,1,0,1,2.0,Bar,Arabian,3,1,4,5,4,6,6,9.0,5.0,9.0,8,6,2,6,15.107460643394935,unknown,Unknown,Other
15000000,"british,japanese",Mumbai,Near Party Hub,2007-09-15,72.2,Not Specific,54.4,1,1,1,0,0,2.0,Bar,Arabian,3,0,8,4,4,3,8,7.0,3.0,7.0,5,4,3,6,17.883641341546884,mumbai,India,Tier 1
10500000,"tibetan,italian",Jaipur,Near Business Hub,2010-11-08,71.8,Tier A Celebrity,64.8,1,1,1,1,1,2.0,Bar,90's,2,1,9,4,4,4,9,7.0,3.0,8.0,8,5,2,3,14.735112936344969,jaipur,India,Tier 2
24000000,"tibetan,greek",Bangalore,Near Party Hub,2012-03-18,77.0,Tier A Celebrity,76.2,1,1,1,1,0,2.0,Bar,90's,3,0,3,5,5,6,8,10.0,4.0,5.0,6,4,4,3,13.377138945927447,bangalore,India,Tier 1
12000000,"nigerian,cajun",raipur,Near Business Hub,2011-01-26,,Tier A Celebrity,68.8,1,1,1,1,1,2.0,Bar,Arabian,3,0,10,3,6,5,7,9.0,4.0,7.0,7,6,3,8,14.518822724161533,raipur,India,Tier 2
44000000,"tibetan,italian",Kolkata,Near Party Hub,2009-07-09,84.2,Not Specific,78.8,1,1,1,1,1,2.0,Bar,Greek,3,0,1,5,5,6,5,8.0,,6.0,6,5,1,5,16.0684462696783,kolkata,India,Tier 1
30000000,"chinese,salvadorian",Bangalore,Near Party Hub,2011-09-24,66.33,Not Specific,61.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,1,5,5,6,7,8.0,4.0,7.0,8,1,4,8,13.859000684462696,bangalore,India,Tier 1
31500000,"japanese,thai",Pune,Near Party Hub,2010-10-04,,Not Specific,79.0,1,1,1,1,1,2.0,Bar,90's,4,0,7,4,4,6,6,7.0,5.0,7.0,10,6,2,10,14.830937713894592,pune,India,Tier 1
11000000,"algerian,belgian",gurgaon,Near Party Hub,2007-01-22,57.0,Tier A Celebrity,50.0,1,1,1,1,1,2.0,Bar,Greek,2,0,6,2,2,3,9,6.0,,7.0,8,2,2,8,18.529774127310063,gurgaon,India,Tier 1
51000000,"british,japanese",Bangalore,Near Party Hub,2008-04-03,71.67,Not Specific,66.6,1,1,1,1,1,2.0,Bar,Arabian,3,0,3,3,5,6,5,9.0,6.0,8.0,7,5,2,6,17.333333333333332,bangalore,India,Tier 1
12000000,"british,japanese",Pune,Near Party Hub,2011-07-25,70.2,Not Specific,67.4,1,1,1,1,0,2.0,Bar,90's,2,0,6,4,4,4,7,6.0,3.0,8.0,8,5,4,9,14.026009582477755,pune,India,Tier 1
30000000,"turkish,sapnish",Bhopal,Near Party Hub,2010-02-05,77.2,Tier A Celebrity,65.2,0,1,1,1,1,2.0,Bar,Arabian,2,0,9,5,6,6,9,10.0,4.0,4.0,6,5,0,7,15.490759753593428,bhopal,India,Tier 2
18000000,"swedish,greek",Bangalore,Near Business Hub,2011-06-27,90.27,Not Specific,95.41,1,1,1,0,1,2.0,Bar,Greek,4,0,3,3,5,4,9,10.0,4.0,6.0,6,6,6,9,14.102669404517453,bangalore,India,Tier 1
34000000,"irish,belgian",Faridabad,Near Party Hub,2007-08-09,67.67,Not Specific,73.8,1,1,0,1,0,1.0,Bar,Chinese,4,0,1,4,6,7,6,9.0,4.0,3.0,4,3,3,6,17.984941820670773,faridabad,India,Tier 2
33000000,"tibetan,greek",Mumbai,Near Party Hub,2011-07-03,86.0,Tier A Celebrity,71.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,5,5,6,5,10,9.0,6.0,4.0,8,5,3,5,14.08624229979466,mumbai,India,Tier 1
24000000,"swedish,greek",New Delhi,Near Party Hub,2012-02-20,53.4,Tier A Celebrity,66.0,1,1,1,0,1,2.0,Bar,90's,2,0,2,3,5,3,9,10.0,3.0,6.0,7,7,6,6,13.451060917180014,new delhi,India,Tier 1
19500000,"welsh,thai",Lucknow,Near Business Hub,2009-12-27,76.16,Tier A Celebrity,74.0,1,1,1,1,1,2.0,Caffee,Arabian,3,0,4,5,5,2,8,10.0,4.0,7.0,9,6,7,7,15.600273785078713,lucknow,India,Tier 2
20000000,"turkish,sapnish",-1,Near Party Hub,2010-06-15,,Not Specific,84.0,0,1,1,1,1,2.0,Bar,Greek,2,0,7,5,4,4,5,,3.0,8.0,9,6,0,7,15.134839151266256,unknown,Unknown,Other
18000000,"turkish,nigerian",-1,Near Party Hub,2010-02-18,65.71,Tier A Celebrity,68.2,1,1,1,0,1,2.0,Bar,Greek,2,0,8,5,4,6,10,6.0,,6.0,6,4,6,6,15.455167693360712,unknown,Unknown,Other
21000000,"tibetan,greek",Jodhpur,Near Party Hub,2010-08-11,79.5,Not Specific,71.08,1,1,1,1,1,2.0,Bar,Arabian,2,0,3,3,5,5,7,7.0,5.0,6.0,8,6,6,7,14.978781656399725,jodhpur,India,Tier 2
12000000,"british,japanese",udaipur,Near Business Hub,2008-12-04,82.0,Tier A Celebrity,86.0,1,1,1,1,1,2.0,Bar,Arabian,4,0,5,4,3,5,7,10.0,4.0,10.0,10,7,1,5,16.66255989048597,udaipur,India,Tier 3
39000000,"irish,belgian",Gurgaon,Near Business Hub,2009-01-11,77.2,Tier A Celebrity,67.4,1,1,1,1,1,2.0,Bar,Greek,3,0,1,4,4,4,9,8.0,4.0,4.0,8,4,5,6,16.55852156057495,gurgaon,India,Tier 1
20000000,"tibetan,greek",Kolkata,Near Party Hub,2011-08-25,81.2,Tier A Celebrity,69.6,1,1,1,1,1,2.0,Bar,Greek,3,1,5,5,5,4,8,6.0,,9.0,8,6,4,4,13.94113620807666,kolkata,India,Tier 1
35000000,"algerian,belgian",Chennai,Near Party Hub,2006-08-27,80.0,Not Specific,94.5,1,1,1,0,1,2.0,Bar,Greek,4,1,2,3,4,3,8,7.0,3.0,6.0,5,4,3,5,18.934976043805612,chennai,India,Tier 1
40000000,"welsh,thai",noida,Near Party Hub,2007-04-04,82.4,Not Specific,81.4,1,1,1,1,1,2.0,Bar,90's,3,0,6,2,5,6,5,10.0,4.0,4.0,5,5,6,6,18.33264887063655,noida,India,Tier 1
14500000,"indian,irish",Chennai,Near Party Hub,2007-12-05,66.4,Not Specific,67.75,1,1,1,0,1,2.0,Caffee,Arabian,3,1,10,5,4,2,7,10.0,5.0,9.0,9,5,0,7,17.661875427789184,chennai,India,Tier 1
50000000,"tibetan,italian",Bangalore,Near Party Hub,2012-02-29,87.2,Not Specific,71.0,1,1,1,1,1,2.0,Bar,Greek,4,1,3,5,4,5,8,10.0,5.0,5.0,7,5,5,6,13.426420260095824,bangalore,India,Tier 1
14000000,"cuban,british",-1,Near Party Hub,2012-02-10,,Not Specific,87.1,1,1,0,1,1,2.0,Bar,90's,2,1,2,4,5,6,7,10.0,5.0,4.0,4,5,4,8,13.478439425051334,unknown,Unknown,Other
15500000,"turkish,nigerian",Hyderabad,Near Party Hub,2010-05-01,77.0,Not Specific,85.0,1,1,1,1,0,2.0,Bar,Greek,2,1,5,5,3,4,9,,3.0,5.0,6,7,2,9,15.2580424366872,hyderabad,India,Tier 1
38000000,"british,japanese",New Delhi,Near Party Hub,2008-09-13,80.4,Tier A Celebrity,81.8,1,1,1,1,1,2.0,Bar,Arabian,3,1,2,6,6,6,9,9.0,5.0,7.0,6,3,3,5,16.8870636550308,new delhi,India,Tier 1
42000000,"tibetan,greek",Bangalore,Near Business Hub,2009-08-27,87.0,Not Specific,75.0,1,1,1,1,0,2.0,Bar,90's,2,0,6,4,5,5,5,10.0,4.0,5.0,6,2,7,5,15.93429158110883,bangalore,India,Tier 1
35500000,"british,japanese",Pune,Near Party Hub,2010-02-07,88.4,Tier A Celebrity,80.4,1,1,1,1,1,2.0,Bar,Greek,3,0,10,5,5,6,5,9.0,,8.0,7,0,0,6,15.485284052019164,pune,India,Tier 1
53500000,"algerian,korean",Pune,Near Party Hub,2009-09-15,77.0,Tier A Celebrity,70.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,3,4,5,6,7,9.0,6.0,3.0,5,4,4,3,15.88227241615332,pune,India,Tier 1
65000000,"tibetan,italian",Pune,Near Party Hub,2009-06-25,90.6,Tier A Celebrity,82.8,1,1,1,1,1,2.0,Bar,90's,4,1,4,7,6,5,10,10.0,4.0,5.0,7,5,4,6,16.10677618069815,pune,India,Tier 1
30000000,"tibetan,italian",Mysore,Near Business Hub,2011-03-22,89.2,Tier A Celebrity,78.8,1,1,0,1,0,2.0,Bar,90's,3,0,1,4,3,4,6,9.0,5.0,5.0,7,4,4,5,14.368240930869268,mysore,India,Tier 2
20000000,"turkish,nigerian",-1,Near Party Hub,2011-10-05,75.2,Not Specific,75.2,1,1,1,0,0,2.0,Bar,Arabian,2,0,6,3,3,3,7,8.0,3.0,5.0,3,3,5,3,13.828884325804244,unknown,Unknown,Other
37000000,"indian,irish",Kolkata,Near Party Hub,2008-04-15,81.6,Tier A Celebrity,72.2,1,1,1,0,1,2.0,Bar,Nature,2,0,4,6,5,5,6,10.0,3.0,0.0,8,4,5,5,17.300479123887747,kolkata,India,Tier 1
38000000,"tibetan,greek",-1,Near Party Hub,2009-01-20,,Local Celebrity,80.2,1,1,1,0,1,2.0,Bar,90's,1,0,5,4,6,4,7,9.0,5.0,7.0,8,6,2,5,16.53388090349076,unknown,Unknown,Other
40500000,"japanese,thai",kolkata,Near Business Hub,2007-02-15,86.5,Not Specific,81.0,0,1,1,1,1,2.0,Bar,Greek,3,1,7,5,4,5,9,7.0,,7.0,7,5,5,8,18.46406570841889,kolkata,India,Tier 1
46000000,"tibetan,greek",-1,Near Party Hub,2006-12-15,77.16,Tier A Celebrity,71.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,5,6,5,5,7,9.0,6.0,4.0,8,5,1,8,18.633812457221083,unknown,Unknown,Other
18000000,"swedish,greek",Hyderabad ,Near Party Hub,2010-05-25,78.0,Not Specific,80.9,0,1,1,1,1,2.0,Bar,Greek,2,1,9,4,4,3,6,9.0,2.0,7.0,7,3,2,7,15.19233401779603,hyderabad,India,Tier 1
65000000,"cuban,british",Bangalore,Near Party Hub,2012-08-30,72.33,Not Specific,67.0,1,1,0,1,0,2.0,Bar,Arabian,3,0,10,5,4,6,10,9.0,4.0,5.0,3,4,8,5,12.92539356605065,bangalore,India,Tier 1
12000000,"welsh,thai",New Delhi,Near Party Hub,2011-11-29,64.0,Tier A Celebrity,57.0,1,1,1,1,1,2.0,Bar,Arabian,2,0,7,4,4,4,9,7.0,3.0,9.0,6,4,2,8,13.678302532511978,new delhi,India,Tier 1
22000000,"polish,jewish",Gurgaon,Near Party Hub,2011-01-03,,Tier A Celebrity,70.1,1,1,1,0,1,2.0,Bar,Arabian,2,0,4,5,4,4,8,10.0,3.0,5.0,9,3,3,7,14.581793292265571,gurgaon,India,Tier 1
10000000,"indian,irish",Chennai,Near Party Hub,2011-03-01,88.2,Not Specific,83.58,1,1,1,1,1,2.0,Bar,Nature,3,0,6,3,3,3,6,8.0,,8.0,3,4,5,4,14.425735797399042,chennai,India,Tier 1
26000000,"indian,irish",Bangalore,Near Business Hub,2006-06-21,79.89,Not Specific,62.83,1,1,1,1,1,2.0,Bar,Arabian,1,1,9,4,2,3,6,6.0,3.0,,2,2,4,0,19.11841204654346,bangalore,India,Tier 1
65000000,"algerian,korean",Bangalore ,Near Party Hub,2007-03-21,75.4,Tier A Celebrity,68.2,1,1,1,1,1,2.0,Bar,90's,4,0,2,5,5,6,6,9.0,5.0,9.0,9,3,1,9,18.3709787816564,bangalore,India,Tier 1
32000000,"tibetan,greek",-1,Near Party Hub,2009-02-05,,Tier A Celebrity,69.4,1,1,0,1,1,2.0,Bar,Arabian,3,0,7,6,5,6,10,9.0,6.0,7.0,8,2,1,8,16.490075290896645,unknown,Unknown,Other
30000000,"chinese,salvadorian",Bangalore ,Near Business Hub,2011-03-16,91.6,Not Specific,86.5,1,1,1,1,1,2.0,Bar,Greek,4,1,6,4,5,5,9,10.0,4.0,6.0,9,5,0,7,14.38466803559206,bangalore,India,Tier 1
31000000,"turkish,nigerian",-1,Near Party Hub,2010-12-21,76.0,Not Specific,77.2,1,1,1,1,1,2.0,Bar,90's,2,0,2,4,4,5,8,8.0,3.0,8.0,7,5,2,6,14.617385352498289,unknown,Unknown,Other
25000000,"algerian,algerian",Bangalore,Near Business Hub,2009-09-15,70.0,Tier A Celebrity,61.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,6,4,4,3,9,6.0,1.0,10.0,8,6,4,7,15.88227241615332,bangalore,India,Tier 1
34000000,"turkish,sapnish",Bangalore,Near Business Hub,2012-03-06,72.83,Not Specific,79.4,1,1,1,1,0,1.0,Bar,Arabian,3,0,8,3,6,7,10,6.0,4.0,6.0,6,5,0,5,13.409993155373032,bangalore,India,Tier 1
27500000,"tibetan,greek",Bangalore ,Near Business Hub,2009-10-09,81.0,Tier A Celebrity,66.0,0,1,0,1,1,2.0,Bar,Arabian,4,0,6,5,5,5,8,7.0,3.0,5.0,7,4,3,7,15.816563997262149,bangalore,India,Tier 1
32000000,"tibetan,greek",Bangalore,Near Business Hub,2011-10-13,88.33,Tier A Celebrity,68.0,1,1,1,1,1,2.0,Bar,90's,3,0,10,5,5,5,7,7.0,4.0,9.0,8,4,2,7,13.806981519507186,bangalore,India,Tier 1
42500000,"tibetan,greek",bangalore,Near Party Hub,2008-07-16,78.88,Not Specific,67.67,0,1,0,1,1,2.0,Bar,90's,2,0,2,4,5,4,9,8.0,4.0,9.0,8,5,3,5,17.048596851471594,bangalore,India,Tier 1
12000000,"turkish,nigerian",Hyderabad,Near Party Hub,2010-11-05,74.0,Not Specific,81.0,1,1,1,0,1,2.0,Bar,Umami,2,1,8,5,5,5,9,,,7.0,7,5,4,6,14.743326488706366,hyderabad,India,Tier 1
37000000,"algerian,korean",Bangalore,Near Business Hub,2012-02-27,95.2,Tier A Celebrity,74.8,0,1,1,1,1,2.0,Bar,Delicio,3,1,10,6,6,6,8,9.0,,5.0,6,4,3,6,13.431895961670088,bangalore,India,Tier 1
65000000,"indian,irish",Bangalore,Near Party Hub,2006-09-27,,Tier A Celebrity,80.4,1,1,1,0,1,1.0,Bar,Greek,2,1,2,6,6,7,9,10.0,6.0,9.0,9,8,0,7,18.850102669404517,bangalore,India,Tier 1
65000000,"welsh,thai",Muzaffarpur,Near Party Hub,2008-09-03,76.0,Not Specific,74.2,1,1,1,1,0,2.0,Bar,Nature,3,0,4,4,4,6,8,9.0,,8.0,7,5,2,5,16.914442162902123,muzaffarpur,India,Tier 3
10000000,"chinese,salvadorian",Noida,Near Party Hub,2012-09-07,75.3,Not Specific,68.4,1,1,1,1,1,2.0,Bar,Greek,3,0,1,4,4,5,7,10.0,,7.0,5,3,6,4,12.903490759753593,noida,India,Tier 1
10000000,"turkish,nigerian",Kolkata`,Near Party Hub,2010-09-28,71.5,Not Specific,62.0,1,1,1,1,0,2.0,Bar,Arabian,2,1,2,5,4,5,8,8.0,4.0,7.0,7,4,2,7,14.847364818617386,kolkata,India,Tier 1
24000000,"tibetan,greek",Kolkata,Near Party Hub,2011-04-28,69.8,Tier A Celebrity,66.4,1,1,1,1,1,2.0,Bar,Greek,2,0,10,6,4,4,8,7.0,4.0,10.0,7,5,3,9,14.26694045174538,kolkata,India,Tier 1
33500000,"welsh,thai",Noida,Near Party Hub,2009-10-18,52.0,Not Specific,55.0,0,1,1,1,1,2.0,Bar,Arabian,2,0,8,3,3,4,7,7.0,3.0,4.0,1,2,6,4,15.791923340177961,noida,India,Tier 1
17000000,"polish,jewish",New Delhi,Near Business Hub,2011-10-29,58.2,Not Specific,69.6,0,1,1,0,0,2.0,Bar,Greek,2,0,2,4,5,4,5,10.0,,3.0,7,6,6,9,13.763175906913073,new delhi,India,Tier 1
40000000,"tibetan,greek",Mumbai,Near Party Hub,2009-11-06,,Not Specific,95.3,1,1,1,1,1,2.0,Bar,90's,4,0,3,7,5,5,6,9.0,5.0,7.0,8,5,2,6,15.739904175222451,mumbai,India,Tier 1
21500000,"cuban,british",Hyderabad,Near Party Hub,2008-12-01,70.83,Not Specific,71.0,1,1,1,1,1,2.0,Bar,Arabian,2,1,10,6,3,4,5,6.0,3.0,7.0,8,2,3,8,16.670773442847366,hyderabad,India,Tier 1
40500000,"algerian,korean",Noida,Near Party Hub,2010-10-01,93.4,Tier A Celebrity,63.0,1,1,1,1,1,2.0,Bar,Molino,2,0,1,6,6,6,5,8.0,3.0,5.0,7,5,6,5,14.839151266255989,noida,India,Tier 1
30000000,"nigerian,cajun",chennai,Near Party Hub,2011-06-25,,Not Specific,87.0,1,1,1,1,1,2.0,Bar,Greek,3,0,6,5,4,5,10,,4.0,8.0,5,7,4,4,14.108145106091717,chennai,India,Tier 1
14500000,"british,japanese",-1,Near Party Hub,2010-03-06,79.0,Not Specific,66.0,1,1,1,1,1,2.0,Bar,Greek,2,0,4,5,4,6,10,7.0,3.0,9.0,10,9,9,10,15.411362080766597,unknown,Unknown,Other
18000000,"tibetan,greek",Bangalore,Near Business Hub,2012-06-04,92.0,Not Specific,89.0,1,1,1,1,0,2.0,Bar,90's,4,0,5,5,5,3,10,10.0,3.0,10.0,5,2,2,6,13.163586584531142,bangalore,India,Tier 1
20000000,"algerian,algerian",Jaipur,Near Party Hub,2011-11-30,75.4,Tier A Celebrity,60.4,1,1,1,1,1,2.0,Bar,Greek,2,0,7,4,5,4,10,8.0,,4.0,6,5,7,2,13.675564681724847,jaipur,India,Tier 2
28000000,"peruvian,cuban",Gurgaon,Near Party Hub,2012-06-01,68.0,Tier A Celebrity,59.0,1,1,1,1,1,2.0,Caffee,Arabian,3,0,4,5,5,5,9,6.0,3.0,0.0,3,0,4,6,13.17180013689254,gurgaon,India,Tier 1
40000000,"british,japanese",Gurgaon,Near Party Hub,2008-08-24,72.3,Tier A Celebrity,95.0,1,1,1,1,0,2.0,Bar,90's,3,0,5,4,5,6,10,7.0,3.0,7.0,7,3,2,8,16.941820670773442,gurgaon,India,Tier 1
30000000,"tibetan,greek",Bangalore,Near Business Hub,2009-12-30,79.5,Not Specific,76.0,1,1,1,0,1,2.0,Bar,Arabian,3,0,3,4,5,5,9,7.0,5.0,4.0,8,6,6,7,15.592060232717317,bangalore,India,Tier 1
46000000,"algerian,algerian",Bangalore,Near Party Hub,2008-07-14,82.0,Tier A Celebrity,61.2,1,1,0,1,1,2.0,Bar,Arabian,2,1,4,5,5,3,8,9.0,5.0,4.0,7,3,4,5,17.05407255304586,bangalore,India,Tier 1
22500000,"tibetan,italian",New Delhi,Near Party Hub,2011-10-05,71.0,Tier A Celebrity,64.6,1,1,1,0,1,2.0,Bar,Greek,2,0,1,3,4,3,10,8.0,,4.0,9,6,6,5,13.828884325804244,new delhi,India,Tier 1
16000000,"turkish,sapnish",Pune,Near Business Hub,2005-08-08,62.13,Not Specific,43.12,0,1,1,0,0,2.0,Caffee,Arabian,2,0,4,3,3,4,8,8.0,3.0,5.0,4,6,3,6,19.98631074606434,pune,India,Tier 1
20500000,"indian,irish",Bulandshahar,Near Party Hub,2009-06-09,,Not Specific,80.8,0,1,0,1,0,2.0,Bar,Arabian,2,0,4,5,5,4,10,8.0,4.0,8.0,6,8,4,8,16.150581793292265,bulandshahar,India,Tier 3
